name,bitdepth,rmse,psnr,compressed_size,bpp,compression_ratio,ssim
I0_q10_rec,16,2.2373,89.33,67103,1.7518,9.13,
I0_q30_rec,16,4.2758,83.71,27452,0.7167,22.33,
I0_q60_rec,16,6.6731,79.84,16128,0.421,38.0,
I100_q10_rec,16,922.5051,37.03,51179,1.5619,10.24,
I100_q30_rec,16,922.5097,37.03,28906,0.8821,18.14,
I100_q60_rec,16,922.5196,37.03,21677,0.6615,24.19,
I101_q10_rec,16,922.505,37.03,46418,1.4166,11.29,
I101_q30_rec,16,922.509,37.03,27173,0.8293,19.29,
I101_q60_rec,16,922.518,37.03,20829,0.6357,25.17,
I102_q10_rec,16,922.505,37.03,45148,1.3778,11.61,
I102_q30_rec,16,922.5088,37.03,26580,0.8112,19.72,
I102_q60_rec,16,922.5176,37.03,20494,0.6254,25.58,
I103_q10_rec,16,2.5446,88.22,180611,5.5118,2.9,
I103_q30_rec,16,6.7132,79.79,107219,3.2721,4.89,
I103_q60_rec,16,12.1133,74.66,76005,2.3195,6.9,
I104_q10_rec,16,0.9028,97.22,8158,0.249,64.27,
I104_q30_rec,16,1.598,92.26,1752,0.0535,299.25,
I104_q60_rec,16,2.1033,89.87,720,0.022,728.18,
I105_q10_rec,16,0.9443,96.83,9276,0.2831,56.52,
I105_q30_rec,16,1.6985,91.73,2226,0.0679,235.53,
I105_q60_rec,16,2.2607,89.24,970,0.0296,540.5,
I106_q10_rec,16,0.9816,96.49,10301,0.3144,50.9,
I106_q30_rec,16,1.7805,91.32,2523,0.077,207.8,
I106_q60_rec,16,2.3668,88.85,1155,0.0352,453.93,
I107_q10_rec,16,1.0165,96.19,11225,0.3426,46.71,
I107_q30_rec,16,1.8645,90.92,2874,0.0877,182.42,
I107_q60_rec,16,2.4935,88.39,1412,0.0431,371.31,
I108_q10_rec,16,1.0483,95.92,12169,0.3714,43.08,
I108_q30_rec,16,1.9379,90.58,3312,0.1011,158.3,
I108_q60_rec,16,2.6525,87.86,1666,0.0508,314.7,
I109_q10_rec,16,1.0799,95.66,12906,0.3939,40.62,
I109_q30_rec,16,1.9937,90.34,3613,0.1103,145.11,
I109_q60_rec,16,2.7263,87.62,1807,0.0551,290.14,
I10_q10_rec,16,922.5059,37.03,100946,3.0806,5.19,
I10_q30_rec,16,922.5165,37.03,60518,1.8469,8.66,
I10_q60_rec,16,922.5405,37.03,43171,1.3175,12.14,
I110_q10_rec,16,1.1069,95.45,13816,0.4216,37.95,
I110_q30_rec,16,2.0549,90.07,3975,0.1213,131.9,
I110_q60_rec,16,2.8587,87.21,2043,0.0623,256.63,
I111_q10_rec,16,1.1381,95.21,15095,0.4607,34.73,
I111_q30_rec,16,2.1285,89.77,4459,0.1361,117.58,
I111_q60_rec,16,2.9864,86.83,2388,0.0729,219.55,
I112_q10_rec,16,1.1627,95.02,15909,0.4855,32.96,
I112_q30_rec,16,2.1855,89.54,4765,0.1454,110.03,
I112_q60_rec,16,3.0975,86.51,2610,0.0797,200.88,
I113_q10_rec,16,1.186,94.85,16787,0.5123,31.23,
I113_q30_rec,16,2.253,89.27,5368,0.1638,97.67,
I113_q60_rec,16,3.204,86.22,3023,0.0923,173.43,
I114_q10_rec,16,1.2163,94.63,18749,0.5722,27.96,
I114_q30_rec,16,2.3296,88.98,6416,0.1958,81.72,
I114_q60_rec,16,3.3489,85.83,3572,0.109,146.78,
I115_q10_rec,16,1.2416,94.45,20262,0.6183,25.88,
I115_q30_rec,16,2.4252,88.63,7200,0.2197,72.82,
I115_q60_rec,16,3.5434,85.34,4236,0.1293,123.77,
I116_q10_rec,16,1.2661,94.28,21195,0.6468,24.74,
I116_q30_rec,16,2.4766,88.45,7731,0.2359,67.82,
I116_q60_rec,16,3.6413,85.1,4518,0.1379,116.04,
I117_q10_rec,16,1.2864,94.14,22979,0.7013,22.82,
I117_q30_rec,16,2.5403,88.23,8859,0.2704,59.18,
